EVTYPE,EVENT
?,Others
ABNORMAL WARMTH,Heat
ABNORMALLY DRY,Heat
ABNORMALLY WET,Heavy Rain
ACCUMULATED SNOWFALL,Heavy Snow
AGRICULTURAL FREEZE,Frost/Freeze
APACHE COUNTY,Others
ASTRONOMICAL LOW TIDE,Astronomical Low Tide
ASTRONOMICAL HIGH TIDE,High Surf
AVALANCE,Avalanche
AVALANCHE,Avalanche
BEACH EROSIN,High Surf
BEACH EROSION,High Surf
BEACH EROSION/COASTAL FLOOD,High Surf
BEACH FLOOD,Coastal Flood
BELOW NORMAL PRECIPITATION,Others
BITTER WIND CHILL TEMPERATURES,Cold/Wind Chill
BITTER WIND CHILL,Cold/Wind Chill
BLACK ICE,Frost/Freeze
BLIZZARD AND EXTREME WIND CHIL,Blizzard
BLIZZARD AND HEAVY SNOW,Blizzard
BLIZZARD WEATHER,Blizzard
BLIZZARD,Blizzard
BLIZZARD/FREEZING RAIN,Blizzard
BLIZZARD/HEAVY SNOW,Blizzard
BLIZZARD/HIGH WIND,Blizzard
BLIZZARD/WINTER STORM,Blizzard
BLOW-OUT TIDE,Storm Surge/Tide
BLOW-OUT TIDES,Storm Surge/Tide
BLOWING DUST,Dust Storm
BLOWING SNOW & EXTREME WIND CH,Blizzard
BLOWING SNOW,Blizzard
BLOWING SNOW- EXTREME WIND CHI,Blizzard
BLOWING SNOW/EXTREME WIND CHIL,Blizzard
BREAKUP FLOODING,Flood
BRUSH FIRE,Wildfire
BRUSH FIRES,Wildfire
Beach Erosion,High Surf
Black Ice,Frost/Freeze
Blizzard Summary,Blizzard
Blowing Snow,Blizzard
COASTAL  FLOODING/EROSION,Coastal Flood
COASTAL EROSION,Coastal Flood
COASTAL FLOOD,Coastal Flood
COASTAL FLOODING,Coastal Flood
COASTAL FLOODING/EROSION,Coastal Flood
COASTAL STORM,Storm Surge/Tide
COASTAL SURGE,Storm Surge/Tide
COASTAL/TIDAL FLOOD,Coastal Flood
COASTALFLOOD,Coastal Flood
COASTALSTORM,Storm Surge/Tide
COLD AIR FUNNEL,Funnel Cloud
COLD AIR FUNNELS,Funnel Cloud
COLD AIR TORNADO,Tornado
COLD AND FROST,Frost/Freeze
COLD AND SNOW,Frost/Freeze
COLD AND WET CONDITIONS,Frost/Freeze
COLD TEMPERATURES,Frost/Freeze
COLD WAVE,Frost/Freeze
COLD WEATHER,Frost/Freeze
COLD WIND CHILL TEMPERATURES,Cold/Wind Chill
COLD,Cold/Wind Chill
COLD/WIND CHILL,Cold/Wind Chill
COLD/WINDS,Cold/Wind Chill
COOL AND WET,Cold/Wind Chill
COOL SPELL,Cold/Wind Chill
CSTL FLOODING/EROSION,Coastal Flood
Coastal Flood,Coastal Flood
Coastal Flooding,Coastal Flood
Coastal Storm,Storm Surge/Tide
Cold Temperature,Frost/Freeze
Cold and Frost,Frost/Freeze
Cold,Cold/Wind Chill
DAM BREAK,Flash Flood
DAM FAILURE,Flash Flood
